id,Sentence,language,emotion
5946,"ꯅꯍꯥꯛꯀꯤ ꯐꯤꯗꯕꯦꯛ ꯑꯁꯤ ꯑꯩꯈꯣꯏꯒꯤꯗꯃꯛꯇ ꯌꯥꯝꯅ ꯃꯃꯜ ꯌꯥꯝꯃꯤ, ꯑꯃꯁꯨꯡ ꯑꯩꯈꯣꯏꯒꯤ ꯁꯤꯟꯃꯤꯁꯤꯡꯅ ꯃꯇꯝ ꯄꯨꯝꯅꯃꯛꯇ ꯏꯀꯥꯏ ꯈꯨꯝꯅꯕ ꯑꯃꯁꯨꯡ ꯄ꯭ꯔꯣꯐꯦꯁꯁꯟꯅꯦꯜ ꯑꯣꯏꯅ ꯊꯕꯛ ꯇꯧꯅꯕ ꯑꯩꯈꯣꯏꯅ ꯆꯦꯛꯁꯤꯟꯅꯕ ꯍꯣꯠꯅꯒꯅꯤ ꯫",Manipuri,happy
9798,"ꯄꯣꯠ ꯊꯤꯟꯕ ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅ ꯂꯥꯛꯄ ꯃꯇꯝ ꯈꯨꯗꯤꯡꯃꯛꯇ, ꯑꯩꯅ ꯃꯍꯥꯛꯄꯨ ꯑꯩꯈꯣꯏꯒꯤ ꯌꯨꯝꯗ ꯆꯪꯍꯟꯕ ꯀꯤꯖꯩ꯫ ꯍꯧꯖꯤꯛꯀꯤ ꯃꯇꯝꯁꯤꯗ ꯍꯨꯔꯥꯟꯕꯒꯤ ꯊꯧꯗꯣꯛ ꯌꯥꯝꯅ ꯍꯦꯟꯅ ꯂꯩꯔꯦ꯫",Manipuri,fear
8321,پننس کاربارس منز نقصانن چھس بہٕ سیٹھاہ زبردست  ویسروومُت۔,Kashmiri,sad
11250,ꯍꯦꯜꯊ ꯁꯦꯟꯇꯔꯅ ꯄꯤꯔꯤꯕ ꯍꯤꯗꯥꯛꯁꯤꯡ ꯑꯁꯤ ꯃꯇꯝ ꯂꯣꯏꯔꯕꯒꯨꯝ ꯇꯧꯋꯤ ꯑꯃꯁꯨꯡ ꯃꯁꯤ ꯀꯤꯅꯤꯡꯉꯥꯏ ꯑꯣꯏ꯫,Manipuri,fear
9184,ꯑꯩ ꯑꯌꯨꯛ ꯈꯨꯗꯤꯡꯒꯤ ꯈꯣꯡꯕꯥꯟ ꯑꯗꯨꯗꯒꯤ ꯌꯥꯝꯅ ꯅꯝꯊꯤꯕ ꯃꯅꯝ ꯑꯃ ꯅꯝꯃꯤ ꯫,Manipuri,disgust
2036,ایکسایز انسپیکٹرس ٲس میٲنیۍ ژران تکیاز مےٚ اوس تس چک پوسٹس پیٹھ پنن ٹرک تراونہٕ باپت رشوت دنس انکار کوٚرمت۔,Kashmiri,anger
5183,ꯚꯤ. ꯄꯤ. ꯑꯁꯤ ꯆꯦꯟꯅꯥꯏꯗ ꯈꯪ ꯍꯩꯔꯕ ꯁꯔꯚꯤꯁ ꯇꯧꯕ ꯃꯤꯑꯣꯏ ꯑꯃ ꯑꯣꯏꯕꯅ ꯑꯩꯒꯤ ꯏꯟꯖꯤꯟ ꯌꯥꯗꯕꯗ ꯃꯇꯦꯡ ꯄꯥꯡꯅꯕ ꯂꯩꯕꯅ ꯑꯩ ꯇꯁꯦꯡꯅ ꯑꯋꯥꯕ ꯀꯣꯛꯂꯦ꯫,Manipuri,happy
7467,مےٚ اوس نہٕ زانہہ سوچمت زِ مےٚ میلِہ اکھ گرٕ یتھ میٲنس خوابن ہٕندس باغس خٲطرٕ کٲفی آنگن آسِہ، تہٕ پتہٕ ژھور درالن میانِہ خٲطرٕ اکھ!,Kashmiri,surprise
934,ᱱᱚᱶᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱤᱧᱤᱡ ᱢᱤᱥᱨᱟᱧᱼᱟᱜ ᱡᱟᱱᱟᱢ ᱢᱟᱦᱟ ᱞᱟᱹᱜᱤᱫ ᱾ ᱟᱞᱮ ᱫᱚ ᱩᱱᱤ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱨᱯᱨᱟᱭᱤᱡᱽ ᱯᱟᱨᱴᱤ ᱞᱮ ᱮᱢᱟᱭ ᱠᱟᱱᱟ ᱾,Santali,happy
3583,ꯉꯁꯤ ꯃꯐꯝ ꯀꯌꯥꯗ ꯑꯩꯒꯤ ꯀ꯭ꯔꯦꯗꯤꯠ ꯑꯁꯤ ꯁꯤꯖꯤꯟꯅꯕ ꯌꯥꯗꯦ꯫ ꯑꯩꯒꯤ ꯕꯦꯡ꯭ꯛ ꯑꯦꯀꯥꯎꯟꯠꯇ ꯁꯦꯜ ꯃꯔꯥꯡ ꯀꯥꯏꯅ ꯂꯩꯕ꯭ꯔꯥ ꯍꯥꯏꯕꯗꯨ ꯑꯩ ꯈꯪꯗꯦ꯫,Manipuri,sad
3528,ییٚلہ مےٚ پنٛنس پسندیدٕ لوئس لا آمور کتابہٕ مجموعس سۭتۍ وتھ الگ گٔیہ تہ مےٚ پیٚیہ پننہ کتابہٕ سیکنٛڈ ہینڈ کتاب فروشس کٕننہ، مےٚ گیہ زنگہ بہِتھ ۔,Kashmiri,sad
7077,ᱤᱧᱨᱮᱱ ᱩᱢᱮᱨᱟᱱ ᱟᱭᱳᱼᱵᱟᱵᱟ ᱱᱚᱣᱟ ᱟᱸᱡᱚᱢ ᱠᱟᱛᱮᱜ ᱠᱤᱱ ᱠᱩᱥᱤᱭᱮᱱᱟ ᱡᱮ ᱥᱚᱨᱠᱟᱨ ᱩᱢᱮᱨᱟᱱ ᱦᱚᱲᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱮᱯᱷ ᱰᱤ ᱥᱩᱫ ᱥᱟᱣᱴᱮᱭ ᱵᱟᱲᱦᱟᱣ ᱮᱫᱟ ᱾,Santali,happy
11670,ᱤᱧᱤᱧ ᱦᱟᱦᱟᱲᱟᱜ ᱞᱮᱱᱟ ᱡᱚᱠᱷᱚᱡ ᱱᱟᱥᱟ ᱥᱟᱣ ᱤᱥᱨᱳᱼᱟᱜ ᱵᱷᱟᱹᱜᱤᱫᱟᱨ ᱟᱭ ᱮᱥ ᱮᱥᱼᱨᱮ ᱢᱤᱫ ᱦᱚᱲ ᱥᱮᱨᱢᱟ ᱥᱟᱸᱜᱷᱟᱹᱨᱤᱭᱟᱹ ᱠᱳᱞ ᱨᱮᱭᱟᱜ ᱩᱪᱷᱟᱹᱱ ᱦᱩᱭᱞᱮᱱᱟ !,Santali,surprise
11270,ᱳᱦ! ᱱᱚᱶᱟ ᱱᱟᱶᱟ ᱫᱳᱠᱟᱱ ᱟᱹᱨᱤ ᱚᱱᱟᱛᱮ ᱚᱥᱩᱵᱤᱫᱷᱟ ᱜᱮᱭᱟ ᱾ ᱱᱚᱶᱟ ᱫᱚ ᱠᱷᱟᱹᱞᱤ ᱚᱱᱟ ᱨᱮᱭᱟᱜ  ᱦᱟᱱᱛᱮ ᱱᱟᱛᱮ ᱯᱟᱨᱠᱤᱝ ᱟᱨ ᱵᱤᱥᱟᱹᱣ ᱥᱟᱞᱟᱜ ᱥᱩᱨᱥᱩᱯᱩᱨ ᱨᱮ ᱟᱨ ᱦᱚᱸ ᱮᱴᱠᱮᱴᱚᱬᱮᱭ ᱥᱤᱨᱡᱟᱹᱣ ᱮᱫᱟ ᱾,Santali,disgust
3343,ꯑꯩꯒꯤ ꯂꯣꯏꯅꯕꯤꯅ ꯑꯩꯒꯤ ꯃꯇꯦꯡ ꯌꯥꯎꯗꯅ ꯃꯁꯥꯒꯤ ꯑꯣꯏꯅ ꯌꯨꯝꯒꯤ ꯊꯕꯛ ꯄꯨꯝꯅꯃꯛ ꯆꯂꯥꯏꯕ ꯃꯇꯝꯗ ꯑꯩ ꯅꯨꯉꯥꯏꯇꯕ ꯐꯥꯎꯏ ꯫,Manipuri,sad
9645,ᱤᱧᱨᱮᱱ ᱟᱭᱳᱼᱵᱟᱵᱟ ᱠᱤᱱ ᱦᱟᱦᱟᱲᱟᱜ ᱩᱛᱟᱹᱨ ᱞᱮᱱᱟ ᱡᱚᱠᱷᱚᱱ ᱤᱧ ᱛᱟᱞᱟᱧᱤᱫᱟᱹ ᱟᱪᱠᱟ ᱧᱟᱯᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱩᱱᱠᱤᱱᱟᱜ ᱫᱩᱣᱟᱹᱨᱤᱧ ᱠᱷᱟᱴᱼᱠᱷᱟᱴᱟᱣ ᱠᱮᱫᱟ ᱾,Santali,surprise
6338,ꯋꯥꯎ! ꯃꯁꯤꯒꯤ ꯁ꯭ꯃꯥꯔꯠ ꯐꯣꯟ ꯀꯦꯃꯦꯔꯥ ꯑꯁꯤꯅ ꯄ꯭ꯔꯣꯐꯦꯁꯅꯦꯜ ꯑꯣꯏꯕ ꯃꯒꯨꯟ ꯂꯩꯕ ꯐꯣꯇꯣꯁꯤꯡ ꯀꯥꯞꯄꯦ ꯫,Manipuri,surprise
6788,ریسٹورانٹس منٛز سٖست رفتار خدماتو كھور مے٘ شرارتھ ۔ مےٚ پیوٚو پنن آرڈر دنہٕ خٲطرٕ ابدس تام پیٛارٖن۔,Kashmiri,anger
5473,ꯃꯁꯤꯒꯤ ꯋꯥꯐꯝ ꯑꯁꯤ ꯃꯤꯌꯥꯝꯅ ꯌꯦꯡꯅꯕ ꯊꯝꯂꯒ  ꯍꯦꯟꯅ ꯑꯀꯥꯏꯕ ꯌꯥꯎꯗꯕ ꯋꯥꯐꯝꯁꯤꯡ ꯑꯗꯨꯅ ꯊꯨꯅ ꯂꯧꯊꯣꯛꯈꯤꯕ ꯍꯥꯏꯕꯁꯤ ꯑꯩ ꯋꯥ ꯍꯥꯏꯅꯤꯡꯉꯥꯏ ꯂꯩꯇꯔꯦ꯫,Manipuri,surprise
6594,ᱤᱧ ᱤᱧᱟᱹᱜ ᱡᱤᱯᱠᱟᱹᱣᱟᱱ ᱡᱤᱭᱚᱱᱨᱮ ᱟᱫ ᱟᱠᱟᱱ ᱫᱟᱣ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟᱧ ᱩᱭᱦᱟᱹᱨ ᱞᱮᱠᱷᱟᱱ ᱵᱷᱟᱵᱽᱱᱟ ᱫᱚ ᱵᱟᱹᱧ ᱟᱴᱠᱟᱨᱟ ᱾,Santali,sad
5839,مےٚ چھنہٕ پتہ ز اسہ میلیاہ پنٛنہ پروڑکٹہٕ خٲطرٕ خام مال یُتھ  یہ  وقتس پیٚٹھ ڈلیوری باپت تیار ہیکو  کٔرتھ۔,Kashmiri,fear
8961,ᱤᱧᱨᱮᱱ ᱟᱭᱳᱼᱵᱟᱵᱟ ᱟᱹᱰᱤ ᱠᱤᱱ ᱠᱩᱥᱤ ᱞᱮᱱᱟ ᱡᱚᱠᱷᱚᱱ ᱟᱞᱮ ᱩᱱᱠᱤᱱᱟᱜ ᱵᱟᱯᱞᱟ ᱥᱮᱨᱢᱟ ᱯᱩᱨᱟᱹᱣ ᱢᱟᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱠᱮᱫᱳᱜ ᱡᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱞᱮ ᱤᱫᱤ ᱞᱮᱫ ᱠᱤᱱᱟ ᱾,Santali,happy
1124,"ꯑꯩꯍꯥꯛꯅ ꯉꯔꯥꯡ ꯑꯍꯤꯡ ꯊꯋꯥꯏ ꯅꯨꯡꯉꯥꯏꯇꯕ ꯃꯃꯤ ꯀꯨꯝꯍꯩ ꯑꯃ ꯌꯦꯡꯈꯤ, ꯑꯃꯁꯨꯡ ꯃꯗꯨꯗꯒꯤ ꯑꯩꯍꯥꯛꯀꯤ ꯋꯥꯈꯜꯗ ꯑꯗꯨꯝ ꯀꯤꯍꯟꯗꯨꯅ ꯂꯩꯔꯦ꯫",Manipuri,fear
942,ᱟᱹᱱᱟᱹᱲᱤ ᱦᱚᱲᱟᱜ ᱢᱮᱫᱦᱟ ᱨᱮ ᱵᱚᱛᱚᱨᱟᱱ ᱞᱟᱸᱫᱟ ᱫᱚ ᱩᱱᱤ ᱟᱠᱽᱵᱟᱠᱚᱜ ᱞᱮᱠᱟᱱ ᱵᱚᱛᱚᱨ ᱛᱮᱭ ᱯᱮᱨᱮᱡ ᱠᱮᱫᱮᱭᱟ ᱾,Santali,fear
2499,ڈیٹا راونكہ خدشن کرنٲوِ تِم تہنزٕ اہم فایلہٕ مٗسلسل  بیک اپ ۔,Kashmiri,fear
7459,ꯑꯩꯅ ꯄꯤꯖꯖꯥ ꯑꯗꯨ ꯂꯩꯃꯥꯏꯗ ꯊꯥꯗꯣꯛꯈꯤꯗꯨꯅ ꯁꯣꯏꯗꯅ ꯃꯗꯨꯗ ꯅꯦꯠꯂꯨꯕꯗ ꯑꯩ ꯅꯨꯉꯥꯏꯇꯕ ꯐꯥꯎꯈꯤ꯫,Manipuri,sad
916,"ꯌꯨ. ꯄꯤ. ꯑꯥꯏ. ꯍꯧꯗꯣꯛꯈꯤꯕꯗꯒꯤ ꯍꯧꯅ, ꯑꯩꯅ ꯃꯄꯥꯟꯗ ꯁꯦꯜ ꯌꯥꯝꯅ ꯆꯥꯗꯤꯡ ꯇꯧꯔꯛꯂꯤ ꯑꯃꯁꯨꯡ ꯑꯩꯒꯤ ꯑꯦꯀꯥꯎꯟꯠꯇ ꯕꯦꯂꯦꯟ꯭ꯁ ꯌꯥꯝꯅ ꯅꯦꯝꯅ ꯌꯥꯎꯏ꯫",Manipuri,sad
10962,مےٚ گو ژس ییٚلہ نہ بہٕ واٮٔی فایی جُورِتھ  ہیوٚکُس ۔ از کل چھٗس مستحکم رٲبطس پیٹھ  پژھ كران ۔,Kashmiri,surprise
9666,میانہ سرمایہ کٲری چھ مےٚ رٹایٔرمینٹ باپتھ سیٹھاہ دِیوٗتمٗت ۔,Kashmiri,happy
11564,"ꯃꯁꯤꯒꯤ ꯕ꯭ꯔꯥꯟ ꯑꯁꯤꯅ ꯍꯧꯈꯤꯕ ꯆꯍꯤ ꯃꯉꯥꯗ ꯑꯁꯣꯏ ꯑꯉꯥꯝ ꯑꯃꯇ ꯂꯩꯈꯤꯗ꯭ꯔꯤ, ꯃꯔꯝ ꯑꯗꯨꯅ ꯅꯍꯥꯛꯅ ꯑꯁꯣꯏꯕ ꯊꯦꯡꯅꯩ ꯍꯥꯏꯕꯁꯤ ꯑꯩꯍꯥꯛꯅ ꯊꯥꯖꯕ ꯉꯝꯗꯦ꯫",Manipuri,surprise
11818,ꯋꯥꯟ ꯄ꯭ꯂꯁ ꯇꯤ.ꯚꯤ.ꯒꯤ ꯈꯪꯍꯧꯗꯅ ꯑꯃꯥꯡ ꯑꯇꯥ ꯊꯣꯛꯄꯒꯤꯁꯨ ꯌꯥꯎꯅ ꯀꯣꯟꯕ ꯋꯥꯔꯦꯟꯇꯤ ꯑꯃ ꯂꯩꯔꯝꯒꯅꯤ ꯍꯥꯏꯅ ꯑꯩꯍꯥꯛꯅ ꯊꯥꯖꯔꯨꯗꯦ꯫,Manipuri,surprise
8251,ᱰᱮᱴᱟ ᱯᱷᱟᱥᱟᱣ ᱨᱮᱭᱟᱜ ᱪᱤᱱᱛᱟᱹ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱟᱞᱮ ᱠᱟᱛᱮᱜ ᱟᱞᱮ ᱥᱚᱝᱵᱮᱫᱚᱱᱥᱤᱞ ᱵᱟᱰᱟᱭ ᱛᱮᱱᱟᱜ ᱠᱚ ᱮᱱᱠᱨᱤᱯᱴᱮᱰ ᱦᱩᱭᱮᱱ ᱛᱟᱞᱮᱭᱟ ᱾,Santali,fear
5636,ᱤᱧ ᱟᱹᱰᱤᱧ ᱟᱹᱲᱤᱥᱚᱜᱼᱟ ᱡᱚᱠᱷᱚᱱ ᱩᱛᱛᱚᱨ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱠᱚ ᱫᱚᱠᱠᱷᱤᱱ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱠᱚ ᱥᱟᱶ ᱱᱮᱦᱚᱨ ᱥᱟᱞᱟᱜ ᱠᱚ ᱨᱚᱯᱚᱲᱼᱟ ᱟᱨ ᱯᱟᱹᱨᱥᱤ ᱠᱚ ᱱᱤᱥᱲᱟᱹᱣᱟ ᱾,Santali,anger
6033,بہٕ چھس یژھان امہ بدلہٕ بیٚیہ کینٛہہ مگر واریاہ رہنما چھ لوٗکن پیٹھ قلیل مدتی منافس پیٹھ توجہ مرکوٗز کرتھ نوجوان نسلہٕ خٲطرٕ اکھ خراب مثال قٲیم کران۔,Kashmiri,disgust
5713,"ᱤᱧ ᱠᱟᱺᱦᱤᱥ ᱩᱛᱟᱹᱨ  ᱟᱠᱟᱱᱟ ᱟᱨ ᱟᱞᱮ ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟᱱ ᱪᱮᱞᱮᱧᱡᱽ ᱨᱮᱞᱮ ᱥᱟᱢᱟᱝᱼᱫᱟᱯᱨᱟᱢᱚᱜ ᱠᱟᱱᱟ, ᱠᱷᱟᱥᱠᱟᱨᱛᱮ ᱥᱮᱢᱞᱮᱫ ᱢᱩᱫᱽᱨᱮ, ᱚᱱᱟ ᱥᱟᱶᱛᱮ ᱩᱫᱜᱟᱹᱣ ᱛᱟᱦᱮᱱ ᱫᱚ ᱟᱡᱷᱟᱴ ᱜᱮᱭᱟ ᱾",Santali,sad
8556,ᱤᱧ ᱫᱚ ᱪᱟᱞᱟᱣᱮᱱ ᱧᱤᱫᱟᱹ ᱨᱮ ᱵᱟᱹᱝ ᱵᱟᱰᱟᱭ ᱛᱮᱜᱮ ᱦᱳᱥᱴᱮᱞ ᱢᱮᱥ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱠᱚᱞᱤᱧ ᱨᱟᱹᱯᱩᱫ ᱟᱠᱟᱫᱟ ᱟᱨ ᱤᱧ ᱫᱚ ᱟᱹᱰᱤᱧ ᱵᱚᱛᱚᱨᱚᱜ ᱠᱟᱱᱟ ᱡᱮ ᱩᱝᱠᱩ ᱫᱚ ᱤᱧ ᱠᱚ ᱮᱜᱮᱨᱤᱧᱟ ᱾,Santali,fear
2209,ᱟᱢ ᱪᱮᱫ ᱟᱹᱰᱤ ᱦᱟᱲᱟᱢ ᱢᱮᱱᱠᱷᱟᱱ ᱟᱢ ᱫᱚ ᱱᱤᱛᱦᱚᱸ ᱫᱤᱱᱜᱮ ᱑᱐ ᱠᱤᱞᱳᱢᱤᱴᱟᱨᱼᱮᱢ ᱛᱟᱲᱟᱢᱮᱫᱟ ᱾,Santali,surprise
7620,ꯃꯐꯝ ꯑꯗꯨꯒꯤ ꯁ꯭ꯔꯤꯂꯪꯀꯥꯒꯤ ꯆꯤꯟꯖꯥꯛꯁꯤꯡꯗ ꯌꯥꯎꯔꯤꯕ ꯃꯍꯥꯎ ꯃꯈꯜ ꯀꯌꯥꯒꯤ ꯑꯄꯨꯟꯕ ꯑꯁꯤ ꯑꯁꯨꯛ ꯍꯥꯎꯔꯝꯒꯅꯤ ꯍꯥꯏꯕ ꯑꯩ ꯊꯥꯖꯔꯨꯗꯦ ꯫,Manipuri,surprise
9065,ᱤᱧ ᱫᱚ ᱨᱟᱸᱜᱟᱣᱤᱧ ᱵᱩᱡᱷᱟ ᱡᱮ ᱠᱤᱪᱷᱩ ᱫᱤᱥᱚᱢ ᱡᱮᱜᱮᱫ ᱥᱮᱨᱢᱟ ᱠᱷᱚᱫᱨᱚᱱ ᱨᱮ ᱱᱩᱱᱟᱹᱜ ᱠᱟᱹᱣᱰᱤ ᱠᱚ ᱮᱢᱮᱫ ᱠᱟᱱᱟ ᱩᱱᱨᱮ ᱫᱷᱟᱹᱨᱛᱤᱨᱮ ᱟᱨᱦᱚᱸ ᱟᱱᱟᱴ ᱥᱟᱛᱟᱢ ᱠᱚᱫᱚ ᱵᱟᱝ ᱠᱚ ᱢᱟᱱᱟᱣᱮᱫ ᱠᱟᱱᱟ ᱾,Santali,anger
9533,"ꯂꯂꯣꯟ ꯏꯇꯤꯛꯁꯤꯡ ꯇꯧꯕꯗ ꯃꯈꯣꯏꯒꯤ ꯀꯁꯇꯃꯔꯁꯤꯡꯒꯤ ꯆꯦꯛꯁꯤꯟ ꯊꯧꯔꯥꯡꯗꯒꯤ ꯁꯦꯟꯗꯣꯡꯅ ꯍꯦꯟꯅ  ꯃꯔꯨ ꯑꯣꯏꯕ ꯋꯥꯐꯝ ꯊꯝꯂꯤꯕ, ꯃꯔꯨꯑꯣꯏꯅ ꯃꯈꯣꯏꯅ ꯃꯒꯨꯟ ꯂꯩꯇꯕ ꯋꯥꯏꯌꯔꯁꯤꯡꯕꯨ ꯑꯋꯥꯡꯕ ꯊꯥꯛꯀꯤ ꯑꯣꯏꯅ ꯎꯠꯄꯗꯨ, ꯑꯩ ꯌꯥꯝꯅ ꯄꯥꯝꯗꯦ ꯫",Manipuri,disgust
3559,ꯑꯩꯅ ꯌꯨ. ꯑꯦꯁ. ꯗ ꯆꯠꯈꯤꯕ ꯃꯇꯝꯗ ꯑꯩꯒꯤ ꯑꯉꯥꯡ ꯑꯗꯨ ꯚꯥꯔꯠꯇ ꯃꯇꯣꯝꯇ ꯍꯨꯟꯗꯣꯛꯂꯝꯈꯤꯕꯒꯤꯗꯃꯛ ꯑꯩ ꯅꯤꯡꯉꯝꯗꯕ ꯐꯥꯎꯈꯤ ꯫,Manipuri,sad
1690,یہ چھ ننہ وانہٕ حیرت انگیز۔,Kashmiri,surprise
1667,فٹ بال کھلٲڑین ہنٛد لگاتار زخٕم لگنٕکۍ الزام دِنۍ چھُ شرمناک۔۔,Kashmiri,disgust
11493,ꯃꯨꯝꯕꯥꯏꯒꯤ ꯃꯅꯥꯛꯇ ꯂꯩꯕ ꯆꯤꯡꯁꯤꯡꯗ ꯑꯁꯤꯒꯨꯝꯕ ꯐꯖꯔꯕ ꯍꯥꯏꯀꯤꯡꯒꯤ ꯂꯝꯕꯤꯁꯤꯡ ꯐꯪꯒꯅꯤ ꯍꯥꯏꯅ ꯑꯩꯅ ꯀꯩꯗꯧꯅꯨꯡꯗ ꯃꯃꯥꯡꯗ ꯈꯟꯈꯤꯗꯦ꯫,Manipuri,surprise
885,اصل، یہ اوس سیٹھاہ تیز میٲنۍ  پونٛسہٕ آیہ زٕ سیکنڈن منٛز ٹرانسفر کرنہٕ,Kashmiri,surprise
11777,ᱤᱧ ᱪᱮᱫᱟᱜ ᱱᱚᱣᱟ ᱯᱚᱛᱚᱵ ᱱᱤᱛ ᱦᱚᱸ ᱵᱟᱹᱧ ᱯᱟᱲᱦᱟᱣ ᱟᱠᱟᱫᱟ ᱚᱱᱟ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱫᱚ ᱱᱤᱡ ᱵᱟᱵᱚᱫᱛᱮ ᱟᱹᱲᱤᱥᱤᱧ ᱵᱩᱡᱷᱮᱫ ᱠᱟᱱᱟ ᱾,Santali,disgust
8905,"ꯑꯣꯍ! ꯑꯩ ꯑꯁꯤꯒꯨꯝꯕ ꯁꯦꯟꯗꯣꯏ ꯌꯥꯝꯗꯕ ꯂꯣꯟ ꯑꯃ ꯂꯧꯕ ꯌꯥꯏ ꯍꯥꯏꯕ ꯈꯪꯂꯨꯗꯦ꯫ ꯑꯩꯉꯣꯟꯗ ꯈꯪꯍꯟꯕꯤꯕꯒꯤꯗꯃꯛ ꯊꯥꯒꯠꯆꯔꯤ, ꯃꯤꯁꯇꯔ ꯗꯦꯕꯤꯗ꯫",Manipuri,surprise
853,بہٕ چھس نہٕ یژھان ژٕ گژھکھ مےٚ پرٛیتھ ساتہٕ ونن ز مےٚ کیٛاہ چھ کرن۔ امہ سۭتۍ چھ مےٚ جیرٕ وۄتھان۔,Kashmiri,anger
